COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Common Greenshank,Tringa nebularia,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_nebularia,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Curlew Sandpiper,Calidris ferruginea,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_ferruginea,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Great Cormorant,Phalacrocorax carbo,Suliformes,Phalacrocoracidae (Cormorants and Shags),Phalacrocorax_carbo,BL3,Phalacrocoracidae,Phalacrocoracidae,Cormorants,32,SULIFORMES,NONPASSERIFORMES
Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_brachyrhynchus,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Roseate Tern,Sterna dougallii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_dougallii,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Smith's Longspur,Calcarius pictus,Passeriformes,Calcariidae (Longspurs and Snow Buntings),Calcarius_pictus,BL3,P11,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Yellow Rail,Coturnicops noveboracensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Coturnicops_noveboracensis,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
Audubon's Oriole,Icterus graduacauda,Passeriformes,Icteridae (Troupials and Allies),Icterus_graduacauda,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Black-capped Vireo,Vireo atricapilla,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_atricapilla,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Blue-throated Hummingbird,Lampornis clemenciae,Caprimulgiformes,Trochilidae (Hummingbirds),Lampornis_clemenciae,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Chestnut-fronted Macaw,Ara severus,Psittaciformes,Psittacidae (New World and African Parrots),Ara_severus,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Fork-tailed Flycatcher,Tyrannus savana,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus_savana,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Green Kingfisher,Chloroceryle americana,Coraciiformes,Alcedinidae (Kingfishers),Chloroceryle_americana,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES
Long-billed Thrasher,Toxostoma longirostre,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma_longirostre,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Orange-cheeked Waxbill,Estrilda melpoda,Passeriformes,Estrildidae (Waxbills and Allies),Estrilda_melpoda,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Red-crested Pochard,Netta rufina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Netta_rufina,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Ringed Kingfisher,Megaceryle torquata,Coraciiformes,Alcedinidae (Kingfishers),Megaceryle_torquata,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES
Scaly-breasted Munia,Lonchura punctulata,Passeriformes,Estrildidae (Waxbills and Allies),Lonchura_punctulata,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
White-tipped Dove,Leptotila verreauxi,Columbiformes,Columbidae (Pigeons and Doves),Leptotila_verreauxi,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Red-throated Pipit,Anthus cervinus,Passeriformes,Motacillidae (Wagtails and Pipits),Anthus_cervinus,BL3,P9,Motacillidae,Wagtails and pipits,170,PASSERIFORMES,Passeri
California Condor,Gymnogyps californianus,Cathartiformes,Cathartidae (New World Vultures),Gymnogyps_californianus,BL3,Cathartidae,Cathartidae,New World vultures,34,ACCIPITRIFORMES,NONPASSERIFORMES
Diamond Dove,Geopelia cuneata,Columbiformes,Columbidae (Pigeons and Doves),Geopelia_cuneata,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_leucopsis,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Pied Crow,Corvus albus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus_albus,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Red-billed Tropicbird,Phaethon aethereus,Phaethontiformes,Phaethontidae (Tropicbirds),Phaethon_aethereus,BL3,Phaethontidae,Phaethontidae,Tropicbirds,26,PHAETHONTIFORMES,NONPASSERIFORMES
Black-backed Woodpecker,Picoides arcticus,Piciformes,Picidae (Woodpeckers),Picoides_arcticus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Rufous-backed Robin,Turdus rufopalliatus,Passeriformes,Turdidae (Thrushes and Allies),Turdus_rufopalliatus,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Golden Pheasant,Chrysolophus pictus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Chrysolophus_pictus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Groove-billed Ani,Crotophaga sulcirostris,Cuculiformes,Cuculidae (Cuckoos),Crotophaga_sulcirostris,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES
Ruddy Shelduck,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna_ferruginea,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Blue-and-yellow Macaw,Ara ararauna,Psittaciformes,Psittacidae (New World and African Parrots),Ara_ararauna,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Green Peafowl,Pavo muticus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Pavo_muticus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Ringed Teal,Callonetta leucophrys,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Callonetta_leucophrys,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Scarlet Macaw,Ara macao,Psittaciformes,Psittacidae (New World and African Parrots),Ara_macao,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Northern Wheatear,Oenanthe oenanthe,Passeriformes,Muscicapidae (Old World Flycatchers),Oenanthe_oenanthe,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri
Olive Sparrow,Arremonops rufivirgatus,Passeriformes,Passerellidae (New World Sparrows),Arremonops_rufivirgatus,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Common Myna,Acridotheres tristis,Passeriformes,Sturnidae (Starlings),Acridotheres_tristis,BL3,M4,Sturnidae,Starlings,177,PASSERIFORMES,Passeri
Shiny Cowbird,Molothrus bonariensis,Passeriformes,Icteridae (Troupials and Allies),Molothrus_bonariensis,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Short-tailed Hawk,Buteo brachyurus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_brachyurus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Snail Kite,Rostrhamus sociabilis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Rostrhamus_sociabilis,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Gila Woodpecker,Melanerpes uropygialis,Piciformes,Picidae (Woodpeckers),Melanerpes_uropygialis,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Sharp-tailed Grouse,Tympanuchus phasianellus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Tympanuchus_phasianellus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Bridled Titmouse,Baeolophus wollweberi,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Baeolophus_wollweberi,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Montezuma Quail,Cyrtonyx montezumae,Galliformes,Odontophoridae (New World Quail),Cyrtonyx_montezumae,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Varied Bunting,Passerina versicolor,Passeriformes,Cardinalidae (Cardinals and Allies),Passerina_versicolor,BL3,P12,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Violet-crowned Hummingbird,Amazilia violiceps,Caprimulgiformes,Trochilidae (Hummingbirds),Amazilia_violiceps,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Mountain Quail,Oreortyx pictus,Galliformes,Odontophoridae (New World Quail),Oreortyx_pictus,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
American Flamingo,Phoenicopterus ruber,Phoenicopteriformes,Phoenicopteridae (Flamingos),Phoenicopterus_ruber,BL3,Phoenicopteridae,Phoenicopteridae,Flamingos,22,PHOENICOPTERIFORMES,NONPASSERIFORMES
Black-whiskered Vireo,Vireo altiloquus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_altiloquus,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Cockatiel,Nymphicus hollandicus,Psittaciformes,Cacatuidae (Cockatoos),Nymphicus_hollandicus,BL3,Cacatuidae,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Mangrove Cuckoo,Coccyzus minor,Cuculiformes,Cuculidae (Cuckoos),Coccyzus_minor,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES
Military Macaw,Ara militaris,Psittaciformes,Psittacidae (New World and African Parrots),Ara_militaris,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Red-and-green Macaw,Ara chloropterus,Psittaciformes,Psittacidae (New World and African Parrots),Ara_chloropterus,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Smooth-billed Ani,Crotophaga ani,Cuculiformes,Cuculidae (Cuckoos),Crotophaga_ani,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiodynastes_luteiventris,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
White-crowned Pigeon,Patagioenas leucocephala,Columbiformes,Columbidae (Pigeons and Doves),Patagioenas_leucocephala,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
European Goldfinch,Carduelis carduelis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carduelis_carduelis,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Red Junglefowl,Gallus gallus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Gallus_gallus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Boreal Owl,Aegolius funereus,Strigiformes,Strigidae (Owls),Aegolius_funereus,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Red-necked Stint,Calidris ruficollis,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_ruficollis,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Sooty Grouse,Dendragapus fuliginosus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Dendragapus_fuliginosus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Altamira Oriole,Icterus gularis,Passeriformes,Icteridae (Troupials and Allies),Icterus_gularis,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
Amazon Kingfisher,Chloroceryle amazona,Coraciiformes,Alcedinidae (Kingfishers),Chloroceryle_amazona,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES
Aplomado Falcon,Falco femoralis,Falconiformes,Falconidae (Falcons and Caracaras),Falco_femoralis,BL3,Falconidae,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES
Common Pauraque,Nyctidromus albicollis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Nyctidromus_albicollis,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES
Dusky-capped Flycatcher,Myiarchus tuberculifer,Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus_tuberculifer,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Golden-crowned Warbler,Basileuterus culicivorus,Passeriformes,Parulidae (New World Warblers),Basileuterus_culicivorus,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Hook-billed Kite,Chondrohierax uncinatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Chondrohierax_uncinatus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Plain Chachalaca,Ortalis vetula,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",Ortalis_vetula,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Rose-throated Becard,Pachyramphus aglaiae,Passeriformes,Tityridae (Tityras and Allies),Pachyramphus_aglaiae,BL3,TitTyranRest,Cotingidae,Cotingas,104,PASSERIFORMES,Tyranni
Sulphur-crested Cockatoo,Cacatua galerita,Psittaciformes,Cacatuidae (Cockatoos),Cacatua_galerita,BL3,Cacatuidae,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Tamaulipas Crow,Corvus imparatus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus_imparatus,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
White-crowned Parrot,Pionus senilis,Psittaciformes,Psittacidae (New World and African Parrots),Pionus_senilis,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Yellow-green Vireo,Vireo flavoviridis,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_flavoviridis,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Bendire's Thrasher,Toxostoma bendirei,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma_bendirei,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Gilded Flicker,Colaptes chrysoides,Piciformes,Picidae (Woodpeckers),Colaptes_chrysoides,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
California Gnatcatcher,Polioptila californica,Passeriformes,Polioptilidae (Gnatcatchers),Polioptila_californica,BL3,M1,Polioptilidae,Gnatcatchers,172,PASSERIFORMES,Passeri
Great White Pelican,Pelecanus onocrotalus,Pelecaniformes,Pelecanidae (Pelicans),Pelecanus_onocrotalus,BL3,Pelecanidae,Pelecanidae,Pelicans,30,PELECANIFORMES,NONPASSERIFORMES
Scarlet Ibis,Eudocimus ruber,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Eudocimus_ruber,BL3,Threskiornithidae,Threskiornithidae,Ibises and spoonbills,24,PELECANIFORMES,NONPASSERIFORMES
Greater Flamingo,Phoenicopterus roseus,Phoenicopteriformes,Phoenicopteridae (Flamingos),Phoenicopterus_roseus,BL3,Phoenicopteridae,Phoenicopteridae,Flamingos,22,PHOENICOPTERIFORMES,NONPASSERIFORMES
Ivory Gull,Pagophila eburnea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Pagophila_eburnea,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Lesser Flamingo,Phoeniconaias minor,Phoenicopteriformes,Phoenicopteridae (Flamingos),Phoeniconaias_minor,BL3,Phoenicopteridae,Phoenicopteridae,Flamingos,22,PHOENICOPTERIFORMES,NONPASSERIFORMES
Blue Bunting,Cyanocompsa parellina,Passeriformes,Cardinalidae (Cardinals and Allies),Cyanocompsa_parellina,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Northern Jacana,Jacana spinosa,Charadriiformes,Jacanidae (Jacanas),Jacana_spinosa,BL3,Scolopaci,Jacanidae,Jacanas,56,CHARADRIIFORMES,NONPASSERIFORMES
Common Crane,Grus grus,Gruiformes,Gruidae (Cranes),Grus_grus,BL3,Gruidae,Gruidae,Cranes,45,GRUIFORMES,NONPASSERIFORMES
Eurasian Skylark,Alauda arvensis,Passeriformes,Alaudidae (Larks),Alauda_arvensis,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri
White Wagtail,Motacilla alba,Passeriformes,Motacillidae (Wagtails and Pipits),Motacilla_alba,BL3,P9,Motacillidae,Wagtails and pipits,170,PASSERIFORMES,Passeri
Rufous-capped Warbler,Basileuterus rufifrons,Passeriformes,Parulidae (New World Warblers),Basileuterus_rufifrons,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Little Egret,Egretta garzetta,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Egretta_garzetta,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Northern Lapwing,Vanellus vanellus,Charadriiformes,Charadriidae (Plovers and Lapwings),Vanellus_vanellus,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
Black-necked Swan,Cygnus melancoryphus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_melancoryphus,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Common Shelduck,Tadorna tadorna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna_tadorna,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Little Stint,Calidris minuta,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_minuta,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Lanner Falcon,Falco biarmicus,Falconiformes,Falconidae (Falcons and Caracaras),Falco_biarmicus,BL3,Falconidae,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES
Olive Warbler,Peucedramus taeniatus,Passeriformes,Peucedramidae (Olive Warbler),Peucedramus_taeniatus,BL3,P5,Peucedramidae,Olive Warbler,187,PASSERIFORMES,Passeri
Red-faced Warbler,Cardellina rubrifrons,Passeriformes,Parulidae (New World Warblers),Cardellina_rubrifrons,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Thick-billed Kingbird,Tyrannus crassirostris,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus_crassirostris,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
White-eared Hummingbird,Hylocharis leucotis,Caprimulgiformes,Trochilidae (Hummingbirds),Hylocharis_leucotis,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Yellow-eyed Junco,Junco phaeonotus,Passeriformes,Passerellidae (New World Sparrows),Junco_phaeonotus,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Brown Noddy,Anous stolidus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Anous_stolidus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Great Tit,Parus major,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Parus_major,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Abdim's Stork,Ciconia abdimii,Ciconiiformes,Ciconiidae (Storks),Ciconia_abdimii,BL3,Ciconiidae,Ciconiidae,Storks,23,CICONIIFORMES,NONPASSERIFORMES
Pink-backed Pelican,Pelecanus rufescens,Pelecaniformes,Pelecanidae (Pelicans),Pelecanus_rufescens,BL3,Pelecanidae,Pelecanidae,Pelicans,30,PELECANIFORMES,NONPASSERIFORMES
Yellow-billed Stork,Mycteria ibis,Ciconiiformes,Ciconiidae (Storks),Mycteria_ibis,BL3,Ciconiidae,Ciconiidae,Storks,23,CICONIIFORMES,NONPASSERIFORMES
Blue-bellied Roller,Coracias cyanogaster,Coraciiformes,Coraciidae (Rollers),Coracias_cyanogaster,BL3,Coraciidae,Coraciidae,Rollers,82,CORACIIFORMES,NONPASSERIFORMES
Blue-faced Honeyeater,Entomyzon cyanotis,Passeriformes,Meliphagidae (Honeyeaters),Entomyzon_cyanotis,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri
Ross's Gull,Rhodostethia rosea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rhodostethia_rosea,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Alexandrine Parakeet,Psittacula eupatria,Psittaciformes,Psittaculidae (Old World Parrots),Psittacula_eupatria,BL3,Psittacidae1,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Elf Owl,Micrathene whitneyi,Strigiformes,Strigidae (Owls),Micrathene_whitneyi,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Black-rumped Waxbill,Estrilda troglodytes,Passeriformes,Estrildidae (Waxbills and Allies),Estrilda_troglodytes,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
Lilian's Lovebird,Agapornis lilianae,Psittaciformes,Psittaculidae (Old World Parrots),Agapornis_lilianae,BL3,Psittacidae1,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Piratic Flycatcher,Legatus leucophaius,Passeriformes,Tyrannidae (Tyrant Flycatchers),Legatus_leucophaius,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Red-vented Bulbul,Pycnonotus cafer,Passeriformes,Pycnonotidae (Bulbuls),Pycnonotus_cafer,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri
White-winged Parakeet,Brotogeris versicolurus,Psittaciformes,Psittacidae (New World and African Parrots),Brotogeris_versicolurus,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Yellow-chevroned Parakeet,Brotogeris chiriri,Psittaciformes,Psittacidae (New World and African Parrots),Brotogeris_chiriri,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Australian Shelduck,Tadorna tadornoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna_tadornoides,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Antillean Nighthawk,Chordeiles gundlachii,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Chordeiles_gundlachii,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES
Bahama Mockingbird,Mimus gundlachii,Passeriformes,Mimidae (Mockingbirds and Thrashers),Mimus_gundlachii,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Cuban Vireo,Vireo gundlachii,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_gundlachii,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
La Sagra's Flycatcher,Myiarchus sagrae,Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus_sagrae,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Masked Duck,Nomonyx dominicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Nomonyx_dominicus,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Paradise Tanager,Tangara chilensis,Passeriformes,Thraupidae (Tanagers and Allies),Tangara_chilensis,BL3,P17P18,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri
Thick-billed Vireo,Vireo crassirostris,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_crassirostris,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Western Spindalis,Spindalis zena,Passeriformes,Spindalidae (Spindalises),Spindalis_zena,BL3,P20a,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri
Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),Dromaius_novaehollandiae,BL3,Paleognathae,Dromaiidae,Emus,5,CASUARIIFORMES,NONPASSERIFORMES
Coscoroba Swan,Coscoroba coscoroba,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Coscoroba_coscoroba,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Bahama Woodstar,Calliphlox evelynae,Caprimulgiformes,Trochilidae (Hummingbirds),Calliphlox_evelynae,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Crimson-collared Grosbeak,Rhodothraupis celaeno,Passeriformes,Cardinalidae (Cardinals and Allies),Rhodothraupis_celaeno,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Red-billed Pigeon,Patagioenas flavirostris,Columbiformes,Columbidae (Pigeons and Doves),Patagioenas_flavirostris,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES
Hooded Crane,Grus monacha,Gruiformes,Gruidae (Cranes),Grus_monacha,BL3,Gruidae,Gruidae,Cranes,45,GRUIFORMES,NONPASSERIFORMES
White-winged Tern,Chlidonias leucopterus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Chlidonias_leucopterus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Bahama Swallow,Tachycineta cyaneoviridis,Passeriformes,Hirundinidae (Swallows),Tachycineta_cyaneoviridis,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri
