COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Northern Shoveler,Spatula clypeata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_clypeata,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Northern Waterthrush,Parkesia noveboracensis,Passeriformes,Parulidae (New World Warblers),Seiurus_noveboracensis,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chen_rossii,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chen_caerulescens,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Townsend's Warbler,Setophaga townsendi,Passeriformes,Parulidae (New World Warblers),Dendroica_townsendi,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Wilson's Phalarope,Phalaropus tricolor,Charadriiformes,Scolopacidae (Sandpipers and Allies),Steganopus_tricolor,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Winter Wren,Troglodytes hiemalis,Passeriformes,Troglodytidae (Wrens),Troglodytes_troglodytes,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri
Chestnut-backed Chickadee,Poecile rufescens,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Parus_rufescens,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Eurasian Wigeon,Mareca penelope,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_penelope,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Varied Thrush,Ixoreus naevius,Passeriformes,Turdidae (Thrushes and Allies),Zoothera_naevia,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Bonaparte's Gull,Chroicocephalus philadelphia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_philadelphia,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Canyon Towhee,Melozone fusca,Passeriformes,Passerellidae (New World Sparrows),Pipilo_fuscus,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Cassin's Sparrow,Peucaea cassinii,Passeriformes,Passerellidae (New World Sparrows),Aimophila_cassinii,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Cinnamon Teal,Spatula cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_cyanoptera,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Ladder-backed Woodpecker,Dryobates scalaris,Piciformes,Picidae (Woodpeckers),Picoides_scalaris,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Least Tern,Sternula antillarum,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_antillarum,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Lesser Goldfinch,Spinus psaltria,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carduelis_psaltria,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
MacGillivray's Warbler,Geothlypis tolmiei,Passeriformes,Parulidae (New World Warblers),Oporornis_tolmiei,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Sandhill Crane,Antigone canadensis,Gruiformes,Gruidae (Cranes),Grus_canadensis,BL3,Gruidae,Gruidae,Cranes,45,GRUIFORMES,NONPASSERIFORMES
Willet,Tringa semipalmata,Charadriiformes,Scolopacidae (Sandpipers and Allies),Catoptrophorus_semipalmatus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Louisiana Waterthrush,Parkesia motacilla,Passeriformes,Parulidae (New World Warblers),Seiurus_motacilla,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Cerulean Warbler,Setophaga cerulea,Passeriformes,Parulidae (New World Warblers),Dendroica_cerulea,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Snowy Owl,Bubo scandiacus,Strigiformes,Strigidae (Owls),Bubo_scandiaca,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Yellow-throated Warbler,Setophaga dominica,Passeriformes,Parulidae (New World Warblers),Dendroica_dominica,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Hooded Warbler,Setophaga citrina,Passeriformes,Parulidae (New World Warblers),Wilsonia_citrina,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Black Scoter,Melanitta americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta_nigra,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Buff-breasted Sandpiper,Calidris subruficollis,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tryngites_subruficollis,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Henslow's Sparrow,Centronyx henslowii,Passeriformes,Passerellidae (New World Sparrows),Ammodramus_henslowii,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Kentucky Warbler,Geothlypis formosa,Passeriformes,Parulidae (New World Warblers),Oporornis_formosus,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
