city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Galesburg_IL,Illinois,40.9506,-90.3763,34620,978.346680843938,179,602,55971.698,Yes
Rome_NY,New York,43.2259,-75.491,32128,211.51197446487856,184,455,56261.89,Yes
Spring Hill_TN,Tennessee,35.7436,-86.912,40552,517.3909222594339,89,84,56331.841,Yes
Manteca_CA,California,37.7938,-121.2271,95797,22.905850466196664,186,536,56356.29,Yes
Ashtabula_OH,Ohio,41.8805,-80.7984,28097,348.1742289938008,212,620,56393.843,Yes
Mukwonago_WI,Wisconsin,42.8569,-88.3273,21532,803.9315861018324,251,3250,56539.032,Yes
Carlsbad_NM,New Mexico,32.4064,-104.2385,33008,635.9397073264118,231,851,56849.001,Yes
Camarillo_CA,California,34.223,-119.0325,74152,18.94021914174556,220,2034,56939.389,Yes
Tracy_CA,California,37.7254,-121.4447,94277,32.228280241510426,175,658,57453.984,Yes
Shawnee_OK,Oklahoma,35.3524,-96.9647,36100,622.4524454051457,116,82,57506.843,Yes
Cullman_AL,Alabama,34.1791,-86.8402,19252,448.57768896117165,97,92,57625.715,Yes
Casa Grande_AZ,Arizona,32.907,-111.7623,57635,308.94935803376933,149,198,57680.586,Yes
Greenville_MS,Mississippi,33.385,-91.0514,32089,332.677270505667,58,19,57877.869,No
Madera_CA,California,36.964,-120.0803,82278,120.23956754803235,104,69,57996.343,Yes
Minot_ND,North Dakota,48.2375,-101.2779,50845,1424.1160436827743,227,1226,58108.208,Yes
Dublin_GA,Georgia,32.5358,-82.9279,20872,142.16121055060205,108,182,58125.413,Yes
Junction City_KS,Kansas,39.0268,-96.8495,40157,986.4224406629346,209,324,58156.223,Yes
Clovis_NM,New Mexico,34.4375,-103.1924,43327,705.6846980173663,202,504,58333.544,Yes
Marion_IN,Indiana,40.5497,-85.66,41550,622.672534069978,159,423,58647.055,Yes
Palatka_FL,Florida,29.6488,-81.6618,23740,42.10083590306499,159,245,58693.202,Yes
Waycross_GA,Georgia,31.211,-82.3578,24741,70.37192736457631,69,26,58718.817,No
Thomasville_GA,Georgia,30.8394,-83.9782,24678,94.55869669535629,110,67,58834.627,Yes
Breaux Bridge_LA,Louisiana,30.2829,-91.9044,19072,56.057457273477965,245,1454,58904.697,Yes
Farmington_MO,Missouri,37.782,-90.4287,44494,808.5699457683139,175,785,58963.38,Yes
Watsonville_CA,California,36.9206,-121.7706,77266,7.235960489605767,296,10933,59155.839,Yes
Salina_KS,Kansas,38.8143,-97.6151,47123,975.6048866542428,219,747,59334.404,Yes
Morgan City_LA,Louisiana,29.7041,-91.1919,30061,13.999950965953053,182,233,59724.821,Yes
Carson City_NV,Nevada,39.1512,-119.7474,57522,278.66269433825806,221,1711,59791.662,Yes
Ames_IA,Iowa,42.0262,-93.6275,67841,1189.8716261276738,248,2650,59823.126,Yes
Pottsville_PA,Pennsylvania,40.6798,-76.2092,41479,93.44241942881166,156,484,59869.977,Yes
Searcy_AR,Arkansas,35.2419,-91.7351,27637,526.3702692323352,161,614,60693.233,Yes
Crestview_FL,Florida,30.748,-86.5784,36433,26.33193481076196,120,391,61016.105,Yes
Quincy_IL,Illinois,39.9335,-91.3796,45113,967.3523815945584,223,679,61128.109,Yes
Smithfield_NC,North Carolina,35.5139,-78.3496,30375,96.157279564667,87,65,61225.734,Yes
Ruston_LA,Louisiana,32.5329,-92.6364,28371,269.2762158287044,164,221,61509.756,Yes
